valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.534,2002,0.000328,['My Chemical Romance'],0.383,231097,0.946,1,5gNVTfD1L6QrPgOf0wFo0q,1.13e-06,1,0.0537,-8.122,0,"Honey, This Mirror Isn't Big Enough for the Two of Us",55,2002,0.0789,108.591
0.063,2002,0.0364,['Coldplay'],0.262,318627,0.482,0,0u35Dpz37TY2M2j20RUdMf,0.000189,5,0.11,-7.75,0,Politik,61,2002-08-08,0.0294,170.968
0.276,2002,0.000162,['My Chemical Romance'],0.291,208173,0.976,0,51VwpPzxUd6g94iELptagU,8.29e-06,2,0.359,-6.443,1,Headfirst for Halos,53,2002,0.09,112.225
0.289,2003,0.0556,['blink-182'],0.55,183787,0.913,0,1e1krgHCTUGDhhIgsRVHJ0,0.00094,11,0.133,-6.501,1,Down,50,2003-01-01,0.0392,93.987
0.59,2003,0.0106,['blink-182'],0.463,251867,0.925,0,3HM4NePuYAqdXpAGBk7nNz,0.027,11,0.189,-5.74,1,Always,62,2003-11-01,0.0747,158.33700000000005
0.48,2004,0.000129,['My Chemical Romance'],0.353,210867,0.953,0,4fGIqy3bvjX0jz1SJHqjjo,0.0,1,0.34,-3.635,0,"It's Not a Fashion Statement, It's a Deathwish",59,2004-06-08,0.0515,105.236
0.602,2004,0.00682,['Sum 41'],0.457,182040,0.83,0,1ibeKVCiXORhvUpMmtsQWq,0.00337,5,0.166,-5.2620000000000005,1,Pieces,65,2004-10-12,0.0321,99.93
0.185,2004,0.000389,['My Chemical Romance'],0.494,217733,0.971,0,7HKfrU3iuEFrKxTAfVznrG,4.45e-05,2,0.0978,-3.868,0,The Jetset Life Is Gonna Kill You,57,2004-06-08,0.0546,125.019
0.274,2004,0.00114,['My Chemical Romance'],0.253,232467,0.887,0,6gLn8QhAYL4dEwdpVjfCPl,2.99e-06,11,0.259,-4.635,0,I Never Told You What I Do for a Living,57,2004-06-08,0.0578,115.522
0.262,2004,0.000181,['My Chemical Romance'],0.422,167533,0.946,0,262RJtiqytpugV1UvDicN9,0.0,2,0.231,-3.145,0,Hang 'Em High,55,2004-06-08,0.0651,127.03
0.163,2005,0.00541,['Coldplay'],0.415,311292,0.5539999999999999,0,4wzt5Rrk3W98pHXAqutuJw,0.00202,7,0.155,-10.839,0,Talk,62,2005-06-07,0.0334,120.318
0.151,2005,0.327,['Coldplay'],0.5660000000000001,285345,0.459,0,2w3eXFL86RgxGtDr8bzwgK,0.000253,1,0.202,-9.488,1,A Message,63,2005-06-07,0.0289,116.916
0.301,2006,5.08e-05,['My Chemical Romance'],0.242,239053,0.983,0,0rUNZQuYQvOz6A6zwyT6tM,4.4299999999999986e-05,2,0.303,-2.679,1,This Is How I Disappear,62,2006-10-23,0.106,163.366
0.207,2006,0.0827,['My Chemical Romance'],0.292,112920,0.5479999999999999,0,6s2yqZbiPNPL1B2IeCMsUA,0.0,2,0.414,-4.977,1,The End.,61,2006-10-23,0.0363,175.053
0.153,2006,0.00218,['My Chemical Romance'],0.343,295000,0.6920000000000001,0,6T7MAQCekVb3UnCykjX3BP,0.0,2,0.112,-3.926,1,Disenchanted,63,2006-10-23,0.0355,174.07
0.152,2006,0.00138,['My Chemical Romance'],0.188,283467,0.952,0,2pONuBYwWrNm9jcJH6hmPc,0.000856,0,0.381,-4.499,1,Sleep,57,2006-10-23,0.201,155.97299999999996
0.11,2007,0.0127,['Sum 41'],0.1669999999999999,291360,0.851,0,1OTvWduKQV0MQd2gnGM9He,0.0,4,0.172,-4.039,1,With Me,63,2007-01-01,0.0421,175.426
0.82,2008,0.97,['My Chemical Romance'],0.737,81653,0.399,1,0Kt9sF46S7DFKrQOsXqidV,0.0,4,0.196,-10.147,1,Blood - End Credits,58,2008-06-24,0.135,123.979
0.11,2008,0.0614,['Coldplay'],0.33,222653,0.58,0,1ZqHjApl3pfzwjweTfMi0g,0.00129,1,0.115,-7.875,0,Violet Hill,62,2008-05-26,0.0374,76.093
0.383,2010,0.00033,['My Chemical Romance'],0.405,296733,0.95,0,2EGF4JrisrJ4D4HOdTyYEO,3.47e-06,6,0.108,-2.8,1,Bulletproof Heart,60,2010-11-05,0.071,139.715
0.373,2010,0.000233,['My Chemical Romance'],0.606,270387,0.942,0,1mX6SYJ1ZpcoxQUiER8wOI,7.07e-06,2,0.106,-3.618,1,SING,60,2010-11-05,0.0357,110.98
0.333,2011,0.00194,['Coldplay'],0.425,240796,0.732,0,2U8g9wVcUu9wsg6i7sFSv8,0.0103,9,0.171,-6.882999999999999,1,Every Teardrop Is a Waterfall,69,2011-10-24,0.0396,117.98
0.53,2015,0.00205,['Coldplay'],0.638,263787,0.924,0,69uxyAqqPIsUyTO8txoP2M,0.000175,7,0.149,-3.887,1,Adventure of a Lifetime,75,2015-12-04,0.036,111.995
0.63,1997,0.000684,['blink-182'],0.277,172133,0.8490000000000001,1,5arE0i12UB4WuGraBVcuXE,0.0,0,0.303,-6.0870000000000015,1,Apple Shampoo,45,1997,0.0988,100.22
0.532,1997,8.54e-06,['blink-182'],0.234,148040,0.958,1,2Meangpbyvif2jmc1Uf2al,3.62e-06,11,0.206,-4.64,1,Pathetic,45,1997,0.0816,101.935
0.249,1997,9.24e-05,['blink-182'],0.355,196533,0.988,0,7ukNySRsyzfFuVO9RKwJD7,2.45e-05,2,0.112,-5.559,1,Waggy,44,1997,0.105,127.537
0.825,1999,0.00029,['blink-182'],0.4,170400,0.937,0,0GvaNolz2vhHikR26yRLmv,0.0,0,0.0742,-3.892,1,Wendy Clear,51,1999-06-01,0.0337,114.233
0.664,2001,0.00456,['blink-182'],0.552,145733,0.982,0,2DcxTfOm8y2UgeP81qdidR,0.0,9,0.337,-3.227,1,Online Songs,54,2001,0.0484,98.458
0.17,2001,0.0014,['blink-182'],0.524,239547,0.777,0,3QmjMVakV28Rtk3b3vqdJv,1.3800000000000008e-05,2,0.157,-4.9430000000000005,1,Stay Together For The Kids,50,2001-01-01,0.0363,145.116
0.764,2001,0.000733,['blink-182'],0.564,186040,0.955,0,7l7BbmQD7cWPSL9fvaUheU,7.26e-06,11,0.388,-4.289,1,Please Take Me Home,54,2001,0.0384,100.704
0.87,2001,0.0008869999999999,['Sum 41'],0.503,169960,0.8909999999999999,0,6joQ1zE0lhx0UazVTK05Xc,0.0,4,0.0651,-6.365,1,Motivation,54,2001-01-01,0.0982,168.33599999999996
0.645,2001,0.00162,['blink-182'],0.504,185027,0.956,0,6Ou4ZbbiRTSMpgIQqMy6Pt,0.0,11,0.376,-2.95,1,Every Time I Look For You,47,2001-01-01,0.0469,128.25
0.6579999999999999,2001,0.000499,['blink-182'],0.53,200200,0.918,1,3S8z8Aa9LJVfbD5wLsC1CW,0.0,9,0.113,-3.065,1,Shut Up,51,2001,0.036,114.061
0.357,2002,0.000665,['My Chemical Romance'],0.306,263813,0.94,0,08VsSDNBuAOwGu8tkpJlSU,0.0,9,0.336,-6.475,1,Drowning Lessons,53,2002,0.119,127.331
0.773,2002,0.00222,['Sum 41'],0.44,149307,0.919,1,3SO0vfryYv381w1ImgWONG,0.00503,7,0.0892,-4.462,1,Over My Head (Better Off Dead),48,2002-01-01,0.0735,184.324
0.116,2002,0.156,['Coldplay'],0.525,351400,0.472,0,4JJ5zGKnb1IpERyBrfmb1y,4.39e-06,5,0.29,-8.017999999999999,1,A Rush of Blood to the Head,57,2002-08-08,0.0255,138.39
0.105,2002,0.836,['Coldplay'],0.269,319360,0.176,0,2uQ4px5SPONsgcUpulywIQ,0.0343,3,0.122,-10.463,1,Amsterdam,56,2002-08-08,0.0296,78.861
0.422,2002,0.000821,['My Chemical Romance'],0.408,305053,0.674,0,2aHqdN4K9naX3oBuUxp6zf,0.0,2,0.134,-8.882,1,Early Sunsets Over Monroeville,51,2002,0.0297,128.974
